model,frames,cls_head,finetuned,acc[mean],acc[std],acc@5[mean],acc@5[std],f1[mean],f1[std],dataset
uniformerv2,32,randomforest,True,0.7518059855521155,0.005837826882861089,0.9643962848297214,0.0045571521498079855,0.44224913823104944,0.014855454195777563,volleyball
uniformerv2,32,svm,True,0.7461300309597524,1.1102230246251565e-16,0.9690402476780186,0.0,0.46092611143214607,0.0,volleyball
uniformerv2,32,mlp,True,0.7528379772961816,0.0019306797661371976,0.9659442724458205,0.0012639265958633223,0.46394293374681067,0.0058428960164742276,volleyball
mvitv2,8,randomforest,True,0.542311661506708,0.005262146040859437,0.8973168214654281,0.002918913441430518,0.25222947414891866,0.004312775356264688,volleyball
mvitv2,8,svm,True,0.5356037151702786,0.0,0.9024767801857584,0.0012639265958633676,0.24607150219860485,0.0,volleyball
mvitv2,8,mlp,True,0.5438596491228069,0.0007297283603576426,0.8906088751289989,0.0007297283603576426,0.270811780456828,0.0005446566237892837,volleyball
mvitv2,16,randomforest,True,0.6228070175438597,0.002631073020429693,0.9226006191950464,0.0033440354480949097,0.31467062640518234,0.0020593386852245576,volleyball
mvitv2,16,svm,True,0.6331269349845201,0.0,0.9282765737874098,0.0007297283603575902,0.31518143394880677,0.0,volleyball
mvitv2,16,mlp,True,0.628482972136223,0.0012639265958633223,0.9195046439628483,0.0,0.3202188567896993,0.0004839453331403998,volleyball
videomaev2,32,randomforest,True,0.8446852425180599,0.0007297283603576426,0.9803921568627452,0.002631073020429744,0.5338698534358116,0.007620516792282937,volleyball
videomaev2,32,svm,True,0.8560371517027864,0.0,0.980908152734778,0.0007297283603576426,0.5634582579334316,0.0,volleyball
videomaev2,32,mlp,True,0.8591331269349846,0.0,0.980908152734778,0.0007297283603576426,0.6045449936039842,0.0,volleyball
mvitv2,32,randomforest,True,0.28602552131963893,0.0034377096225295042,0.7211328976034858,0.0034377096225294804,0.07653910112579719,0.002083802770138529,football
mvitv2,32,svm,True,0.3006535947712418,0.0,0.7457205104263928,0.0015869964250210915,0.03082077051926298,0.0,football
mvitv2,32,mlp,True,0.3000311235605353,0.0008803072283679365,0.7450980392156863,0.0,0.03398448283230024,0.0011904225080443787,football
videomaev2,16,randomforest,True,0.6193588546529724,0.0011645370017970519,0.9240585122938064,0.00044015361418396826,0.5138172441563224,0.0011727333862630086,football
videomaev2,16,svm,True,0.6255835667600373,0.0,0.9299719887955181,0.0007623684229017022,0.5240257080148276,0.0,football
videomaev2,16,mlp,True,0.6212262682850919,0.0011645370017970519,0.9340180516651104,0.003081075299287778,0.5181327447281129,0.003057488787180267,football
uniformerv2,16,randomforest,True,0.4677871148459383,0.0030494736916068087,0.8832866479925303,0.004637306077109021,0.3393783575099208,0.007738432593367672,football
uniformerv2,16,svm,True,0.45471521942110177,0.0,0.873015873015873,0.0007623684229017022,0.3288220009837043,0.0,football
